,question,answer
0,Dược liệu Long nha thảo được sản xuất từ sinh vật nào,"MATCH (o:ORGANISM) WHERE toLower(o.id) CONTAINS ""long nha thao"" RETURN o.id"
1,Dược liệu tác động lên cơ quan nào,MATCH (d:DRUG)-[:TREATS]->(dis:DISEASE) RETURN DISTINCT dis.id
2,Dược liệu Long nha thảo có chỉ số kỹ thuật nào?,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""long nha thảo"" RETURN s.id"
3,Dược liệu Long đởm chủ trị bệnh gì,"MATCH (d:DRUG)-[:TREATS]->(dis:DISEASE) WHERE toLower(d.id) CONTAINS ""long đởm"" RETURN dis.id"
4,Dược liệu Long đởm được sản xuất bằng phương pháp nào,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""long đởm"" RETURN p.id"
5,Dược liệu Long đởm được bảo quản ở điều kiện nào,"MATCH (d:DRUG)-[:STORED_AT]->(s:STORAGE_CONDITION) WHERE toLower(d.id) CONTAINS ""long đởm"" RETURN s.id"
6,LONG ĐỞM được sản xuất từ vi sinh vật nào,"MATCH (d:DRUG)-[:CONTAINS]->(o:ORGANISM) WHERE toLower(d.id) CONTAINS ""long đởm"" RETURN o.id"
7,Kiên long đởm được sản xuất từ vi sinh vật nào,"MATCH (d:DRUG)-[:PRODUCED_BY]->(o:ORGANISM) WHERE toLower(d.id) CONTAINS ""kiên long đởm"" RETURN o.id"
8,Phương pháp sắc ký đồ có chỉ số kỹ thuật nào?,"MATCH (t:TEST_METHOD)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(t.id) CONTAINS ""sắc ký đồ"" RETURN s.id"
9,Dược liệu Long đởm có chỉ số kỹ thuật nào,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""long đởm"" RETURN s.id"
10,Phương pháp sắc ký đồ yêu cầu hóa chất nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""sắc ký đồ"" RETURN c.id"
11,Dược liệu Long đởm được kiểm nghiệm bằng phương pháp nào,"MATCH (d:DRUG)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(d.id) CONTAINS ""long đởm"" RETURN t.id"
12,Long đởm được kiểm nghiệm bằng phương pháp nào?,"MATCH (d:DRUG)-[:TESTED_BY]->(tm:TEST_METHOD) WHERE toLower(d.id) CONTAINS ""long đởm"" RETURN tm.id"
13,Phương pháp sắc ký lớp mỏng yêu cầu hóa chất nào,"MATCH (tm:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(tm.id) CONTAINS ""sắc ký lớp mỏng"" RETURN c.id"
14,Bột Long đởm có chỉ số kỹ thuật nào,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""long đởm"" RETURN s.id"
15,Phương pháp định tính yêu cầu hóa chất nào?,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""định tính"" RETURN c.id"
16,LONG ĐỞM được sản xuất bằng phương pháp nào,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""long đởm"" RETURN p.id"
17,LONG ĐỞM điều trị bệnh nào?,"MATCH (d:DRUG)-[:TREATS]->(dis:DISEASE) WHERE toLower(d.id) CONTAINS ""long đởm"" RETURN dis.id"
18,Dược liệu được bảo quản tại điều kiện nào?,"MATCH (d:DRUG)-[:STORED_AT]->(s:STORAGE_CONDITION) WHERE toLower(d.id) CONTAINS ""dược liệu"" RETURN s.id"
19,LONG ĐỞM được bảo quản ở điều kiện nào,"MATCH (d:DRUG)-[:STORED_AT]->(s:STORAGE_CONDITION) WHERE toLower(d.id) CONTAINS ""long đởm"" RETURN s.id"
20,LONG ĐỞM được kiểm nghiệm bằng phương pháp nào,"MATCH (d:DRUG)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(d.id) CONTAINS ""long đởm"" RETURN t.id"
21,Dược liệu được sản xuất bằng phương pháp nào,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""dược liệu"" RETURN p.id"
22,LONG ĐỞM có chỉ số kỹ thuật nào,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""long đởm"" RETURN s.id"
23,Phương pháp chiết nóng yêu cầu hóa chất nào?,"MATCH (tm:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(tm.id) CONTAINS ""phương pháp chiết nóng"" RETURN c.id"
24,Dược liệu điều trị bệnh nào,MATCH (d:DRUG)-[:TREATS]->(dis:DISEASE) RETURN dis.id
25,Linh chi được sản xuất bằng phương pháp nào?,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""linh chi"" RETURN p.id"
26,Linh chi được sản xuất bởi vi sinh vật nào?,"MATCH (d:DRUG)-[:PRODUCED_BY]->(o:ORGANISM) WHERE toLower(d.id) CONTAINS ""linh chi"" RETURN o.id"
27,Độ ẩm có chỉ số kỹ thuật nào,"MATCH (s:STANDARD) WHERE toLower(s.id) CONTAINS ""độ ẩm"" RETURN s.id"
28,Lão kiều được sản xuất bằng phương pháp nào,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""lão kiều"" RETURN p.id"
29,Thanh kiều được sản xuất bằng phương pháp nào,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""thanh kiều"" RETURN p.id"
30,Dược liệu chứa thành phần nào,MATCH (d:DRUG)-[:CONTAINS]->(c:CHEMICAL) RETURN c.id
31,Dược liệu có chỉ số kỹ thuật nào,MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) RETURN DISTINCT s.id
32,Chất chiết được trong dược liệu có chỉ số kỹ thuật nào?,"MATCH (s:STANDARD) WHERE toLower(s.id) CONTAINS ""chất chiết được trong dược liệu"" RETURN s.id"
33,LIÊN KIỀU được sản xuất từ vi sinh vật nào?,"MATCH (d:DRUG)-[:PRODUCED_BY]->(o:ORGANISM) WHERE toLower(d.id) CONTAINS ""liên kiều"" RETURN o.id"
34,Phương pháp sắc ký có chỉ số kỹ thuật nào,"MATCH (t:TEST_METHOD)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(t.id) CONTAINS ""sắc ký"" RETURN s.id"
35,Phương pháp sắc ký yêu cầu hóa chất nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""sắc ký"" RETURN c.id"
36,Linh chi được sản xuất bởi vi sinh vật nào?,"MATCH (d:DRUG)-[:PRODUCED_BY]->(o:ORGANISM) WHERE toLower(d.id) CONTAINS ""linh chi"" RETURN o.id"
37,Tro không tan trong acid có chỉ số kỹ thuật nào,"MATCH (s:STANDARD) WHERE toLower(s.id) CONTAINS ""tro không tan trong acid"" RETURN s.id"
38,Tro toàn phần có chỉ số kỹ thuật nào?,"MATCH (s:STANDARD) WHERE toLower(s.id) CONTAINS ""tro toàn phần"" RETURN s.id"
39,Lão kiều được kiểm nghiệm bằng phương pháp nào,"MATCH (d:DRUG)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(d.id) CONTAINS ""lão kiều"" RETURN t.id"
40,Phương pháp chiết nóng yêu cầu hóa chất nào?,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""chiết nóng"" RETURN c.id"
41,Phương pháp sắc ký lớp mỏng yêu cầu hóa chất nào?,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""sắc ký lớp mỏng"" RETURN c.id"
